模型,auc,ci_lo,ci_hi,delta_vs_naive,diff_p_value,mcnemar_p
ensemble,0.757,0.6414,0.8634,0.029,0.372,1.0
naive_persistence,0.728,0.6302,0.8259,0.0,,
