asof_month,signal,hs300_ret,position,strategy_ret,buyhold_ret,strategy_nav,buyhold_nav
2019-01-01,0,0.06343439000296947,0.0,0.0,0.06343439000296947,1.0,1.0634343900029695
2019-02-01,0,0.14609325928362193,0.0,0.0,0.14609325928362193,1.0,1.2187949860727936
2019-03-01,1,0.055314945072314936,0.0,0.0,0.055314945072314936,1.0,1.286212563781823
2019-04-01,1,0.01055433909358694,1.0,0.009554339093586939,0.01055433909358694,1.009554339093587,1.299787687326408
2019-05-01,0,-0.0724269659877782,1.0,-0.0724269659877782,-0.0724269659877782,0.9364353813132419,1.2056480087050854
2019-06-01,0,0.05394197844557902,0.0,-0.001,0.05394197844557902,0.9354989459319286,1.2706830476036104
2019-07-01,0,0.0025543792364413065,0.0,0.0,0.0025543792364413065,0.9354989459319286,1.273928853996507
2019-08-01,0,-0.009327158161726246,0.0,-0.0,-0.009327158161726246,0.9354989459319286,1.262046718088495
2019-09-01,0,0.0039325337023559115,0.0,0.0,0.0039325337023559115,0.9354989459319286,1.2670097593413256
2019-10-01,0,0.018933928391664745,0.0,0.0,0.018933928391664745,0.9354989459319286,1.2909992313962346
2019-11-01,1,-0.014943325429561782,0.0,-0.0,-0.014943325429561782,0.9354989459319286,1.2717074097521666
2019-12-01,1,0.06997493386086195,1.0,0.06897493386086195,0.06997493386086195,1.0000249238544894,1.3606950516399425
2020-01-01,0,-0.022623982627468564,1.0,-0.022623982627468564,-0.022623982627468564,0.9774003773501698,1.329910710430358
2020-02-01,0,-0.015947447252067426,0.0,-0.001,-0.015947447252067426,0.9764229769728197,1.3087020295258103
2020-03-01,1,-0.06443930012037913,0.0,-0.0,-0.06443930012037913,0.9764229769728197,1.2243701866770473
2020-04-01,1,0.06142498077264791,1.0,0.06042498077264791,0.06142498077264791,1.0354233165823739,1.2995771018522884
2020-05-01,1,-0.011642965748661305,1.0,-0.011642965748661305,-0.011642965748661305,1.0233679183720399,1.2844461701676777
2020-06-01,1,0.07678800979461453,1.0,0.07678800979461453,0.07678800979461453,1.1019503041114864,1.3830762352631685
2020-07-01,1,0.127542409108244,1.0,0.127542409108244,0.127542409108244,1.2424957006154276,1.5594771102889935
2020-08-01,1,0.025807840860345044,1.0,0.025807840860345044,0.025807840860345044,1.2745618319265735,1.5997238473766826
2020-09-01,1,-0.04751033747455202,1.0,-0.04751033747455202,-0.04751033747455202,1.2140069691595587,1.5237204275217278
2020-10-01,1,0.023529475879011885,1.0,0.023529475879011885,0.023529475879011885,1.2425719168573508,1.559572770567458
2020-11-01,1,0.056421545304338405,1.0,0.056421545304338405,0.056421545304338405,1.3126797445582163,1.6475662762974423
2020-12-01,1,0.05060972708644629,1.0,0.05060972708644629,0.05060972708644629,1.3791141081822138,1.7309491558976884
2021-01-01,1,0.026994472960528704,1.0,0.026994472960528704,0.026994472960528704,1.4163425666850222,1.7776752160826186
2021-02-01,1,-0.002840825752784215,1.0,-0.002840825752784215,-0.002840825752784215,1.412318984246819,1.7726251505486847
2021-03-01,1,-0.054040268994620666,1.0,-0.054040268994620666,-0.054040268994620666,1.3359968864319114,1.6768320105864039
2021-04-01,1,0.014881661592742512,1.0,0.014881661592742512,0.014881661592742512,1.3558787399847487,1.7017860571158288
2021-05-01,1,0.040613144675434976,1.0,0.040613144675434976,0.040613144675434976,1.4109452394140958,1.770900940460112
2021-06-01,1,-0.020168355662590898,1.0,-0.020168355662590898,-0.020168355662590898,1.382488794005153,1.7351847804496956
2021-07-01,1,-0.07903287895328537,1.0,-0.07903287895328537,-0.07903287895328537,1.27322672449427,1.5980481317348318
2021-08-01,1,-0.0011556440533176948,1.0,-0.0011556440533176948,-0.0011556440533176948,1.2717553276015832,1.596201356914477
2021-09-01,0,0.012646261348715493,1.0,0.012646261348715493,0.012646261348715493,1.287838277846054,1.6163873364391919
2021-10-01,0,0.008710165229494082,0.0,-0.001,0.008710165229494082,1.286550439568208,1.630466337214439
2021-11-01,1,-0.015634059041267023,0.0,-0.0,-0.015634059041267023,1.286550439568208,1.6049755302336302
2021-12-01,1,0.022422685639522655,1.0,0.021422685639522654,0.022422685639522655,1.3141118051944674,1.640963392007185
2022-01-01,1,-0.07622926447051659,1.0,-0.07622926447051659,-0.07622926447051659,1.2139380288524704,1.5158739596114335
2022-02-01,1,0.003916497143152675,1.0,0.003916497143152675,0.003916497143152675,1.2186924136744355,1.5218108756436313
2022-03-01,0,-0.07836681402273327,1.0,-0.07836681402273327,-0.07836681402273327,1.123187371941095,1.402551405774294
2022-04-01,0,-0.048869451666829655,0.0,-0.001,-0.048869451666829655,1.122064184569154,1.3340094876395632
2022-05-01,0,0.018743148132793763,0.0,0.0,0.018743148132793763,1.122064184569154,1.3590130250769439
2022-06-01,1,0.0961728629814167,0.0,0.0,0.0961728629814167,1.122064184569154,1.4897131985276295
